Episode,Reward,Steps
1,-8225,1557
2,-5917,1559
3,-3801,1163
4,-1701,443
5,-1181,433
6,-745,297
7,-1031,373
8,-199,121
9,-441,183
10,-461,173
11,-215,147
12,-367,169
13,-113,115
14,-243,155
15,-273,125
16,-55,107
17,-165,117
18,-141,113
19,-119,101
20,-107,109
21,-81,113
22,-103,95
23,-39,91
24,-25,87
25,-77,69
26,-35,97
27,-7,69
28,-45,77
29,-45,77
30,-17,69
31,-21,73
32,-19,71
33,9,63
34,-51,73
35,35,67
36,5,77
37,7,65
38,17,75
39,-41,73
40,15,77
41,23,69
42,-11,73
43,17,65
44,37,65
45,23,59
46,15,67
47,3,69
48,39,63
49,-9,71
50,15,67
51,33,69
52,21,61
53,39,63
54,29,63
55,13,69
56,23,59
57,33,59
58,19,63
59,33,59
60,31,61
61,27,65
62,31,61
63,43,59
64,31,61
65,29,63
66,29,63
67,41,61
68,33,59
69,43,59
70,41,61
71,43,59
72,41,61
73,33,59
74,43,59
75,31,61
76,39,63
77,37,65
78,41,61
79,41,61
80,43,59
81,41,61
82,41,61
83,43,59
84,33,59
85,43,59
86,43,59
87,43,59
88,41,61
89,43,59
90,43,59
91,43,59
92,43,59
93,43,59
94,43,59
95,43,59
96,41,61
97,23,59
98,41,61
99,43,59
100,43,59
